name,owner,full_name,description,stars,gameScore,language,license,homepage,html_url,topics,pushed_at
JavaScript-Snake,patorjk,patorjk/JavaScript-Snake,The game of Snake written in JavaScript.,571,571,JavaScript,MIT,,https://github.com/patorjk/JavaScript-Snake,,2025-04-30T17:59:24Z
minecraft-react,satansdeer,satansdeer/minecraft-react,A simple blocky game implementation using React and ThreeJS,496,566,JavaScript,MIT,https://www.youtube.com/watch?v=Lc2JvBXMesY,https://github.com/satansdeer/minecraft-react,minecraft|react,2024-04-10T16:33:25Z
hexi,kittykatattack,kittykatattack/hexi,Make games the fun way!,561,561,JavaScript,MIT,,https://github.com/kittykatattack/hexi,,2019-03-23T22:12:22Z
example-.io-game,vzhou842,vzhou842/example-.io-game,An example multiplayer (.io) web game.,450,560,JavaScript,MIT,https://example-io-game.victorzhou.com/,https://github.com/vzhou842/example-.io-game,example-project|game|html5-game|io-game|nodejs|socket-io,2023-11-01T19:14:50Z
WebGPU-Ocean,matsuoka-601,matsuoka-601/WebGPU-Ocean,A real-time 3D fluid simulation implemented in WebGPU,417,559,TypeScript,MIT,https://webgpu-ocean.netlify.app/,https://github.com/matsuoka-601/WebGPU-Ocean,fluid-simulation|gpu|mls-mpm|mpm|parallel|sph|webgpu,2025-06-09T14:32:57Z
vue-aplayer,MoePlayer,MoePlayer/vue-aplayer,🍰 A beautiful HTML5 music player for Vue.js,467,557,TypeScript,MIT,https://aplayer.moefe.org/,https://github.com/MoePlayer/vue-aplayer,aplayer|typescript|vue|vue-aplayer,2022-04-16T15:05:15Z
TOSIOS,halftheopposite,halftheopposite/TOSIOS,The Open-Source IO Shooter is an open-source multiplayer game in the browser,408,552,TypeScript,MIT,,https://github.com/halftheopposite/TOSIOS,2d|colyseus|docker|game|multiplayer|pixijs|react|tmx,2025-07-22T05:02:05Z
clubber,wizgrav,wizgrav/clubber,Application of music theory in audio reactive visualizations,369,549,JavaScript,MIT,http://wizgrav.github.io/clubber,https://github.com/wizgrav/clubber,audio|band|clubber|frequency|midi|music|notes|octave|reactive|shadertoy|threshold|web-audio|webgl,2018-06-26T22:17:48Z
dnd5e,foundryvtt,foundryvtt/dnd5e,An implementation of the 5th Edition game system for Foundry Virtual Tabletop (http://foundryvtt.com).,443,542,JavaScript,MIT,,https://github.com/foundryvtt/dnd5e,,2025-08-25T20:46:18Z
elements,muxinc,muxinc/elements,Custom elements for working with media in the browser that Just Work™,315,541,TypeScript,MIT,https://elements-demo-nextjs.vercel.app,https://github.com/muxinc/elements,audio|audio-player|html5|media-chrome|react|video|video-player|web-components,2025-08-22T23:23:14Z
playball,paaatrick,paaatrick/playball,Watch MLB games from the comfort of your own terminal,541,541,JavaScript,MIT,,https://github.com/paaatrick/playball,,2025-04-08T14:49:11Z
awesome-board-games,edm00se,edm00se/awesome-board-games,A curated list of awesome and exceptional board games. Please contribute!,339,534,JavaScript,CC0-1.0,https://awesomeboard.games,https://github.com/edm00se/awesome-board-games,awesome|awesome-list|board-games|games|list|tabletop|tabletop-gaming,2025-08-01T17:02:48Z
3D-Hartwig-chess-set,juliangarnier,juliangarnier/3D-Hartwig-chess-set,3D chess game done in HTML/CSS/JS,524,524,JavaScript,MIT,,https://github.com/juliangarnier/3D-Hartwig-chess-set,,2023-03-31T20:40:37Z
genshin-db,theBowja,theBowja/genshin-db,npm package with searching functions for Genshin Impact data of all in-game languages. Data parsed/organized directly from GenshinData repo.,386,519,JavaScript,MIT,,https://github.com/theBowja/genshin-db,data|genshin|genshin-impact|genshinimpact|javascript|json,2025-07-30T16:28:05Z
life,copy,copy/life,The definite Conway's Game of Life implementation in your browser. Features an infinite field & Hashlife,419,509,JavaScript,BSD-2-Clause,https://copy.sh/life/,https://github.com/copy/life,game-of-life|hashlife|javascript|life,2020-10-26T07:48:50Z
canvas-tetris,dionyziz,dionyziz/canvas-tetris,A 2D tetris game in HTML5 canvas,456,506,JavaScript,MIT,https://dionyziz.com/graphics/canvas-tetris/,https://github.com/dionyziz/canvas-tetris,,2023-12-13T16:31:29Z
phaserquest,Jerenaux,Jerenaux/phaserquest,"Reproduction of Mozilla's BrowserQuest using Phaser, socket.io and Node.js",383,503,JavaScript,MIT,http://www.dynetisgames.com/2017/03/18/phaser-quest/,https://github.com/Jerenaux/phaserquest,browserquest|game|html5|nodejs|online-game|phaser|socket-io,2022-07-23T15:49:07Z
commit4,balajmarius,balajmarius/commit4,Winner of Game Off 2017.,341,501,JavaScript,MIT,https://balajmarius.itch.io/commit4,https://github.com/balajmarius/commit4,gameoff2017|mini-game|phaser,2025-08-06T20:48:15Z
wireframe-world,Erkaman,Erkaman/wireframe-world,An infinite wireframe world in WebGL,360,500,JavaScript,MIT,https://erkaman.github.io/wireframe-world/www/demo.html,https://github.com/Erkaman/wireframe-world,demo|glsl|infinite|javascript|procedural|procedural-generation|retro|webgl|wireframe,2016-07-30T16:06:48Z
glmaps,hijiangtao,hijiangtao/glmaps,Data visualization examples and tutorials from scratch. 数据可视化示例代码集与新手学习教程。,388,498,JavaScript,MIT,,https://github.com/hijiangtao/glmaps,3d|curve|data-visualization|deck-gl|demo|earth|spatio-temporal-data|spatiotemporal|threejs|visualization|webgl,2022-12-30T17:14:43Z
HappyFunTimes,greggman,greggman/HappyFunTimes,A System for creating 10-100+ player local games,386,486,JavaScript,BSD-3-Clause,http://greggman.github.io/HappyFunTimes,https://github.com/greggman/HappyFunTimes,game|games|happyfuntimes|localmultiplayer|smartphone,2020-04-17T03:23:58Z
js-equality-game,slikts,slikts/js-equality-game,The Worst Minesweeper 💣 Ever ,365,475,JavaScript,MIT,http://eqeq.js.org,https://github.com/slikts/js-equality-game,equality|game|immer|javascript|react|table,2023-06-10T08:40:25Z
raycast,ahuth,ahuth/raycast,Raycasting demo using React,353,463,JavaScript,MIT,https://ahuth.github.io/raycast,https://github.com/ahuth/raycast,first-person|html5|javascript|raycast|raycasting|react,2023-10-27T12:34:33Z
quantum-game,stared,stared/quantum-game,Quantum Game (old version) - a puzzle game with real quantum mechanics in a browser,351,461,JavaScript,MIT,http://v2016.quantumgame.io/,https://github.com/stared/quantum-game,game|javascript|physics|puzzle|quantum-game|quantum-mechanics,2023-03-06T23:46:16Z
GameSentry,GrowthEase,GrowthEase/GameSentry,一款提高安全测试效率的工具,459,459,JavaScript,Apache-2.0,,https://github.com/GrowthEase/GameSentry,,2023-06-14T10:48:34Z
uno-game,guilhermebkel,guilhermebkel/uno-game,:flower_playing_cards: An UNO Game made in Javascript,238,458,TypeScript,MIT,https://uno.guilherr.me,https://github.com/guilhermebkel/uno-game,eslint|express|game|games|git-commit-message-linter|husky|javascript|jsgames|lerna|lint-staged|material-ui|react-dnd|reactjs|socketio|typescript|uno|uno-game,2024-04-16T16:29:11Z
Piano-Flow,SuneBear,SuneBear/Piano-Flow,[Paused] A music game follows the piano flows.,404,454,JavaScript,MIT,https://sunebear.github.io/Piano-Flow,https://github.com/SuneBear/Piano-Flow,,2023-09-15T20:33:12Z
monopoly,intrepidcoder,intrepidcoder/monopoly,A fully functional Monopoly game in JavaScript and HTML/CSS. Play online: https://www.intrepidcoder.com/projects/monopoly/,401,431,JavaScript,MIT,,https://github.com/intrepidcoder/monopoly,game|javascript|monopoly,2024-01-03T11:55:45Z
droneWorld,blaze33,blaze33/droneWorld,droneWorld: a 3D world map and a three.js playground,320,430,JavaScript,MIT,https://lab.openbloc.fr/droneWorld,https://github.com/blaze33/droneWorld,game|javascript|map|terrain-rendering|threejs|webgl,2023-01-06T01:49:23Z
skies-adsb,machineinteractive,machineinteractive/skies-adsb,"skies-adsb transforms your browser into a real-time 3D air traffic display. Using unfiltered ADS-B data from an RTL-SDR receiver, explore your local air traffic, surrounding airspace, and geography with custom 3D maps you can tailor to your needs.",240,427,JavaScript,MIT,,https://github.com/machineinteractive/skies-adsb,3d|adsb|adsb-b|creative-coding|creativecoding|geospatial-visualization|gis|python3|raspberrypi|rtl-sdr|rtlsdr|simulation|threejs|webgl,2025-07-04T10:09:14Z
vnve,vnve,vnve/vnve,🎬  VNVE (Visual Novel Video Editor) Make visual novel videos in browser 在浏览器中快速制作视觉小说视频，利用AI一键生成！ ,186,426,TypeScript,MIT,https://www.vnve.net,https://github.com/vnve/vnve,canvas-to-video|galgame|interactive-video|pixijs|pixijs-to-video|typescript|video-editor|visualnovel|webcodecs,2025-08-26T15:06:35Z
break_infinity.js,Patashu,Patashu/break_infinity.js,"A replacement for decimal.js for incremental games who want to deal with very large numbers (bigger in magnitude than 1e308, up to as much as 1e(9e15) ) and want to prioritize speed over accuracy.",225,424,TypeScript,MIT,,https://github.com/Patashu/break_infinity.js,bigdecimal|biginteger|bignum|bignumber|bignumbers|decimal|idle-game|incremental-game|number|numbers,2025-08-26T02:46:34Z
games,TomMalbran,TomMalbran/games,A collection of HTML5 Game,342,422,JavaScript,MIT,http://tommalbran.github.io/games/,https://github.com/TomMalbran/games,game|html|javascript,2024-02-19T01:27:43Z
webgpu-seed,alaingalvan,alaingalvan/webgpu-seed,🔺🌱 An example on how to render a hello triangle with WebGPU.,301,421,TypeScript,Unlicense,https://alain.xyz/blog/raw-webgpu,https://github.com/alaingalvan/webgpu-seed,definitions|dts|types|typescript|typescript-definitions|typings|webgpu,2023-04-17T21:56:31Z
cuberun,akarlsten,akarlsten/cuberun,A small 3D game built with react-three-fiber,333,413,JavaScript,MIT,https://cuberun.adamkarlsten.com,https://github.com/akarlsten/cuberun,game|react|threejs,2023-10-12T19:36:06Z
tower-of-time-game,maciej-trebacz,maciej-trebacz/tower-of-time-game,Vibe coded Tower Defense type of game made for a game jam,363,410,TypeScript,MIT,,https://github.com/maciej-trebacz/tower-of-time-game,,2025-07-04T16:07:09Z
node-globaloffensive,DoctorMcKay,DoctorMcKay/node-globaloffensive,A Node.js module to connect to and interact with the CS2 game coordinator. Mostly used to get item data.,310,410,JavaScript,MIT,https://www.npmjs.com/package/globaloffensive,https://github.com/DoctorMcKay/node-globaloffensive,counter-strike|csgo|node-steam-steamuser|steam|steam-account,2024-10-03T08:30:39Z
word-master,octokatherine,octokatherine/word-master,A Mastermind-like word guessing game,390,410,TypeScript,MIT,,https://github.com/octokatherine/word-master,game|react,2024-05-20T10:50:42Z
breaklock,maxwellito,maxwellito/breaklock,"Web game, hybrid of Mastermind and the Android pattern lock",317,407,JavaScript,MIT,https://maxwellito.github.io/breaklock/,https://github.com/maxwellito/breaklock,game|puzzle|pwa|webgame,2024-10-29T20:58:24Z
eex,tofuness,tofuness/eex,Web experiments. Lots of Canvas stuff. View demos on project site (Chrome recommended):,325,405,JavaScript,MIT,http://tofuness.github.io/eex/,https://github.com/tofuness/eex,canvas|creativecoding|eex,2019-05-22T16:45:23Z
c4,kenrick95,kenrick95/c4,🔴🔵 Connect Four game in JS + Canvas,265,399,TypeScript,MIT,https://kenrick95.github.io/c4/,https://github.com/kenrick95/c4,connect-four|game-2d|html5-canvas|html5-game|typescript-game|web-game,2025-06-12T01:07:47Z
iMSteam,iMAboud,iMAboud/iMSteam,"Adds pirated alternatives for steam's games (Online-fix, FitGirl, Dodi Repacks, Gog Games, RuTracker.. etc)",397,397,JavaScript,Unlicense,,https://github.com/iMAboud/iMSteam,,2024-12-23T17:11:32Z
gorescript,gorescript,gorescript/gorescript,"Retro first-person shooter, written in JavaScript using three.js.",345,395,JavaScript,MIT,https://gorescript.github.io/classic,https://github.com/gorescript/gorescript,,2017-04-18T06:49:28Z
AutoFish,jsbots,jsbots/AutoFish,An easy-to-use fishing bot for games with wow-like fishing logic. ,293,393,JavaScript,MIT,,https://github.com/jsbots/AutoFish,bot|desktop-automation|electron|fishbot|fishing|javascript|javscript-bot|retail|wow|wrath-of-the-lich-king,2025-02-20T07:38:04Z
particle-life,fnky,fnky/particle-life,Game of life with particles,302,392,JavaScript,MIT,https://fnky.github.io/particle-life,https://github.com/fnky/particle-life,game-of-life|javascript|particles|web,2021-04-26T00:23:52Z
allkaraoke,Asvarox,Asvarox/allkaraoke,Online Karaoke game with pitch detection in your browser,160,389,TypeScript,MIT,https://allkaraoke.party,https://github.com/Asvarox/allkaraoke,game|karaoke|online-game|party|singstar|typescript|ultrastar|webrtc,2025-08-25T20:23:31Z
warframe-drop-data,WFCD,WFCD/warframe-drop-data,:moneybag: Warframe Drop Data in an easier to parse format.,138,388,JavaScript,MIT,http://drops.warframestat.us,https://github.com/WFCD/warframe-drop-data,data|drop-data|drop-sorting|enemies|game|mod|play-game|relic|reward|warframe,2025-08-26T16:22:18Z
cloak,incompl,incompl/cloak,A network layer for HTML5 games using Node.js,335,385,JavaScript,MIT,http://incompl.github.io/cloak/,https://github.com/incompl/cloak,,2017-07-20T14:45:55Z
rewind,abstrakt8,abstrakt8/rewind,A beatmap/replay analyzer for the rhythm game called osu!,334,384,TypeScript,MIT,,https://github.com/abstrakt8/rewind,game|osu|pixijs|react|webgl,2025-02-22T16:42:07Z
WaterBall,matsuoka-601,matsuoka-601/WaterBall,Fluid simulation on a sphere🌏,272,382,TypeScript,MIT,https://waterball.netlify.app/,https://github.com/matsuoka-601/WaterBall,fluid|gpu|mls-mpm|mpm|simulation|webgpu,2025-02-21T16:18:23Z
TF-rex,vdutor,vdutor/TF-rex,Play Google Chrome's T-rex game with TensorFlow,342,382,JavaScript,MIT,,https://github.com/vdutor/TF-rex,deep-reinforcement-learning|q-learning|t-rex|tensorflow,2022-11-22T02:05:30Z
wfs.js,ChihChengYang,ChihChengYang/wfs.js,html5 player for raw h.264 streams,382,382,JavaScript,BSD-2-Clause,,https://github.com/ChihChengYang/wfs.js,,2020-09-29T08:54:36Z
chessu,dotnize,dotnize/chessu,"Online multiplayer chess built with Next.js, Express, & socket.io",95,381,TypeScript,MIT,,https://github.com/dotnize/chessu,chess|express|full-stack|fullstack|game|hacktoberfest|javascript|multiplayer|next-js|nextjs|postgresql|react|reactjs|socket|socket-io|socketio|sql|tailwind-css|tailwindcss|typescript,2025-08-12T07:55:38Z
react-tv-player,lewhunt,lewhunt/react-tv-player,"A React video player for TV devices, with customisable buttons and arrow-key navigation. The component can play a variety of URLs like file paths, HLS/Dash streams and even YouTube links directly. Try out the demo on a desktop browser to see how it can simplify playback in your big-screen web apps: https://lewhunt.github.io/react-tv-player",131,381,TypeScript,MIT,https://lewhunt.github.io/react-tv-player/,https://github.com/lewhunt/react-tv-player,big-screen|bigscreen|dash|firetv|html5-video|iptv|live-streaming|media-player|ott|player|react|reactjs|smart-tv|spatial-navigation|tv|typescript|video|video-player|vimeo|youtube,2025-04-23T16:04:33Z
ShieldBattery,ShieldBattery,ShieldBattery/ShieldBattery,The modern way to play StarCraft 1.,169,379,TypeScript,MIT,https://shieldbattery.net,https://github.com/ShieldBattery/ShieldBattery,brood-war|broodwar|game|starcraft|starcraft-remastered|starcraft1,2025-08-26T15:11:51Z
genshin-music,Specy,Specy/genshin-music,"A music composer and song learning webapp made for the games Genshin and Sky Cotl. Made with Next.js, WebMIDI, WebAudio, pixi.js",161,379,TypeScript,MIT,https://specy.app/,https://github.com/Specy/genshin-music,genshin-impact|hacktoberfest|music|nextjs|pixijs|pwa|react|sky-cotl,2025-08-14T15:25:03Z
voidcall,phoboslab,phoboslab/voidcall,Real time strategy game in 13kb of JavaScript/WebGL ,378,378,JavaScript,MIT,,https://github.com/phoboslab/voidcall,,2019-09-23T09:27:36Z
Friendly-Feud,joshzcold,joshzcold/Friendly-Feud,Host your own Feud game. Mobile friendly with built in buzzers.,115,374,TypeScript,MIT,https://famf.app,https://github.com/joshzcold/Friendly-Feud,docker|feud|game|games|go|golang|kubernetes|mit-license|nodejs|react|tailwindcss,2025-08-26T00:09:53Z
spyfall,adrianocola,adrianocola/spyfall,Simple website implementation of the card game Spyfall,236,374,JavaScript,MIT,http://adrianocola.github.io/spyfall/,https://github.com/adrianocola/spyfall,,2025-08-14T23:08:33Z
drawphone,tannerkrewson,tannerkrewson/drawphone,"Draw what you see, and guess what your friends drew",282,372,JavaScript,MIT,https://drawphone.tannerkrewson.com/,https://github.com/tannerkrewson/drawphone,board-game|multiplayer|rocketcrab|socket-io,2024-10-27T21:39:03Z
radius-raid-js13k,jackrugile,jackrugile/radius-raid-js13k,"Radius Raid is a space themed shoot 'em up where you must blast away unrelenting enemies before they destroy you. The game features 13 enemy types, 5 powerups, parallax backgrounds, retro sound effects, and locally stored stats.",272,372,JavaScript,MIT,http://js13kgames.com/entries/radius-raid,https://github.com/jackrugile/radius-raid-js13k,game|javascript|js13k|js13kgames|radius-raid,2024-04-23T15:59:37Z
oplayer,shiyiya,shiyiya/oplayer,:zap: Another HTM5 video player.,175,366,TypeScript,MIT,https://oplayer.vercel.app,https://github.com/shiyiya/oplayer,dash-player|hls|hls-live-streaming|hls-player|html5-video-player|oplayer|react-player|shaka-player|video-player,2025-07-09T05:22:09Z
acgn-stock,ACGN-stock,ACGN-stock/acgn-stock,PTT ACGN股票交易市場,266,366,JavaScript,MIT,https://acgn-stock.com,https://github.com/ACGN-stock/acgn-stock,acgn|javascript|meteor|stock|web-game,2023-07-07T23:35:41Z
muniverse,unixpickle,unixpickle/muniverse,µniverse: RL environments for HTML5 games,366,366,JavaScript,BSD-2-Clause,,https://github.com/unixpickle/muniverse,,2019-01-03T16:55:52Z
game-website,sanidhyy,sanidhyy/game-website,Modern UI/UX 3D Animated Gaming Website using React and GSAP,58,364,TypeScript,MIT,https://nova-game.netlify.app,https://github.com/sanidhyy/game-website,3d-game|3d-web-game|3d-website|css|eslint|game|game-website|gsap|html|nextjs|prettier|react|reactjs|tailwindcss|typescript|vite|vitejs,2025-08-12T08:39:22Z
aimAndShoot,victorqribeiro,victorqribeiro/aimAndShoot,A neuroevolution game experiment.,233,363,JavaScript,MIT,https://victorribeiro.com/aimAndShoot,https://github.com/victorqribeiro/aimAndShoot,canvas|experiment|game|genetic-algorithm|javascript|machine-learning|neural-network|neuroevolution,2020-08-03T01:53:47Z
jeelizPupillometry,jeeliz,jeeliz/jeelizPupillometry,Real-time pupillometry in the web browser using a 4K webcam video feed processed by this WebGL/Javascript library. 2 demo experiments are included.,121,362,JavaScript,Apache-2.0,https://jeeliz.com,https://github.com/jeeliz/jeelizPupillometry,camera|cctv|computer-vision|detection|eye|eyelink|face|iris|javascript|measurement|pupil|pupillometry|radius|real-time|size|tracking|video|webcam|webgl,2025-05-19T14:46:30Z
hello,lynn,lynn/hello,Word-guessing game,362,362,TypeScript,MIT,,https://github.com/lynn/hello,,2024-03-23T13:05:45Z
curvytron,Curvytron,Curvytron/curvytron,A web multiplayer Tron game like with curves,311,361,JavaScript,MIT,http://www.curvytron.com,https://github.com/Curvytron/curvytron,,2020-01-24T09:53:05Z
Reacteroids,chriz001,chriz001/Reacteroids,A implementation of the classic Asteroids game using React and Canvas in es6,359,359,JavaScript,CC0-1.0,,https://github.com/chriz001/Reacteroids,,2024-08-08T11:40:07Z
streaming-room,brunnolou,brunnolou/streaming-room,"Streaming room in Node.js, rtmp, hsl, html5 videojs player",158,358,JavaScript,MIT,,https://github.com/brunnolou/streaming-room,chat|ffmpeg|hsl|html5|node|obs|rtmp|rtmp-server|streaming|video|videojs|vmix,2025-08-06T20:46:48Z
basic-mmo-phaser,Jerenaux,Jerenaux/basic-mmo-phaser,"Very basic multiplayer online game example made with Phaser, Node.js and Socket.io",264,354,JavaScript,MIT,http://www.dynetisgames.com/2017/03/06/how-to-make-a-multiplayer-online-game-with-phaser-socket-io-and-node-js/,https://github.com/Jerenaux/basic-mmo-phaser,multiplayer-game|node-js|phaser-framework|socket-io,2020-01-01T19:53:35Z
binb,lpinca,lpinca/binb,":notes: Competitive, multiplayer, realtime, guess the song game",299,349,JavaScript,MIT,https://binb.co,https://github.com/lpinca/binb,,2025-05-10T18:47:34Z
clashjs,javierbyte,javierbyte/clashjs,Play by creating a javascript function to command your battleship.,245,345,JavaScript,BSD-3-Clause,https://clashjs.com/,https://github.com/javierbyte/clashjs,ai|battle-game|game|javascript|learning,2022-05-03T08:09:58Z
compute.toys,compute-toys,compute-toys/compute.toys,Shadertoy for WebGPU compute shaders.,142,342,TypeScript,MIT,https://compute.toys,https://github.com/compute-toys/compute.toys,giscus|nextjs|utterances|wasm-pack|webgpu,2025-08-26T10:21:48Z
JSMinesweeper,DavidNHill,DavidNHill/JSMinesweeper,"Minesweeper player, solver and analyser in javascript",141,340,JavaScript,MIT,https://davidnhill.github.io/JSMinesweeper/,https://github.com/DavidNHill/JSMinesweeper,game|javascript|minesweeper|playable|solver,2025-08-25T14:29:54Z
front-ui,SilenceHVK,SilenceHVK/front-ui,:smile: :art: Collect some front-end special effects （收集一些前端特效）,276,336,JavaScript,MIT,,https://github.com/SilenceHVK/front-ui,canvas|css3|html-css-javascript|html5|javascript|some-demo,2021-11-16T01:25:51Z
html5-virtual-game-controller,austinhallock,austinhallock/html5-virtual-game-controller,"An easy-to-implement, customizable virtual game controller for HTML5 games",335,335,JavaScript,MIT,,https://github.com/austinhallock/html5-virtual-game-controller,,2017-10-13T12:40:05Z
langterm,statico,statico/langterm,"🕹️ WebGL-based VT220 emulator, made as a learning example and frontend for a text adventure",84,332,JavaScript,MIT,https://langworth.com/,https://github.com/statico/langterm,bitmap-font|cli|console|demo|fun|glsl|if|inform7|interactive-fiction|lulz|retro|shaders|story|terminal|text-adventure|vt220|vt520|webgl|webgl-game,2025-05-26T18:29:48Z
way-of-life,blaze33,blaze33/way-of-life,"Conway's game of life implemented in JavaScript & WebAssembly, rendered to canvas.",232,332,JavaScript,MIT,https://blog.openbloc.fr/webassembly-first-steps/,https://github.com/blaze33/way-of-life,canvas-element|conway-game|game-of-life|javascript|webassembly,2022-12-07T00:50:56Z
rxjs-fruits,GregorBiswanger,GregorBiswanger/rxjs-fruits,A game for learning RxJS 🍎🍌,248,328,TypeScript,MIT,https://www.rxjs-fruits.com,https://github.com/GregorBiswanger/rxjs-fruits,game|learning-rxjs|rxjs,2024-10-29T16:13:02Z
cuttle,cuttle-cards,cuttle-cards/cuttle,"A two-player battle card game for all ages, built with nodejs, sailsjs, and vuejs ",177,327,JavaScript,MIT,,https://github.com/cuttle-cards/cuttle,full-stack|game|hacktoberfest|javascript|nodejs|vue,2025-08-16T22:41:53Z
queens-game-linkedin,samimsu,samimsu/queens-game-linkedin,A clone of the Queens game by LinkedIn,134,324,TypeScript,MIT,https://queensgame.vercel.app,https://github.com/samimsu/queens-game-linkedin,clone|game|giscus|queens-puzzle,2025-08-26T13:24:14Z
rubiks-cube,Aaron-Bird,Aaron-Bird/rubiks-cube,A 3D Rubik's Cube game by Three.js and TypeScript.,142,322,TypeScript,MIT,https://aaron-bird.github.io/rubiks-cube/,https://github.com/Aaron-Bird/rubiks-cube,3d-game|3x3x3|rubiks-cube|three-js|typescript,2025-08-06T09:11:49Z
discord-together,RemyK888,RemyK888/discord-together,Play games or watch YouTube videos together on Discord ! More than 23 games available !,179,322,TypeScript,MIT,,https://github.com/RemyK888/discord-together,bot|discord|discord-activity|discord-activity-bot|discord-bot|discord-js|discord-together|discord-youtube-together|youtube-together,2025-07-10T10:00:04Z
Games-and-Go,ssitvit,ssitvit/Games-and-Go,Collection of 90s games made with React,102,321,JavaScript,MIT,https://games.ieeessitvit.tech/,https://github.com/ssitvit/Games-and-Go,games|hacktoberfest|hacktoberfest-accepted|hacktoberfest2022|jsx|reactjs|vitvellore,2025-08-25T10:40:13Z
MobileCameraTemplate,kasperkamperman,kasperkamperman/MobileCameraTemplate,"A HTML5, JS, CSS Camera interface template. Feel free to use it in your next Computer Vision or AI project. ",201,321,JavaScript,MIT,https://www.kasperkamperman.com/blog/camera-template/,https://github.com/kasperkamperman/MobileCameraTemplate,ai|camera|canvas-2d-context|computer-vision|javascript|mobile-first|webrtc-demos,2020-05-17T13:06:33Z
js-ai-body-tracker,szczyglis-dev,szczyglis-dev/js-ai-body-tracker,"[JS/TensorFlow] JavaScript library that implements machine learning-based models for human pose estimation and human movement analysis. It allows you to easily implement three neural network models for human pose estimation: MoveNet, PoseNet, and BlazePose. No Node.js is required. TensorFlowJS was used, and an example app is included.",67,317,JavaScript,MIT,https://szczyglis.dev/js-ai-body-tracker,https://github.com/szczyglis-dev/js-ai-body-tracker,artificial-intelligence|blazepose|body-tracking|iptv|javascript|library|m3u8|machine-learning|movenet|mp4-video|neural-network|pose-estimation|posenet|realtime|tensorflow|tfjs|tfjs-models|video-streaming|webbrowser|webcam-capture,2024-08-26T04:47:09Z
zhithead,aod,aod/zhithead,Zhithead is a clone of the original card game shithead made for the browser,176,316,TypeScript,MIT,https://zhithead.yatko.dev,https://github.com/aod/zhithead,card-game|framer-motion|hacktoberfest|motion|react|shithead|tailwindcss|vite|xstate,2025-01-18T22:07:06Z
wowser,wowserhq,wowserhq/wowser,World of Warcraft in the browser using JavaScript and WebGL,255,315,JavaScript,MIT,,https://github.com/wowserhq/wowser,blizzard|blizzard-games|javascript|warcraft|webgl|wow,2023-01-25T05:21:56Z
Tetris,mykola-dev,mykola-dev/Tetris,The well known brick game written with Kotlin Multiplatform and Jetpack Compose Multiplatform.,204,314,JavaScript,Apache-2.0,,https://github.com/mykola-dev/Tetris,android|android-game|compose-desktop|game|java-game|jetpack-compose|kotlin|kotlin-multiplatform|tetris|tetris-game|wasm,2022-09-16T18:45:51Z
playcanvas-ar,playcanvas,playcanvas/playcanvas-ar,Fast and Easy Augmented Reality for the Web :rocket:,243,313,JavaScript,MIT,,https://github.com/playcanvas/playcanvas-ar,augmented-reality|html5|playcanvas|webar|webgl|webgl2|webrtc,2022-02-02T23:09:03Z
afterglow,moay,moay/afterglow,HTML5 video player made easy.,233,313,JavaScript,MIT,http://afterglowplayer.com,https://github.com/moay/afterglow,deprecated|html5-video-player|video,2020-04-14T06:27:06Z
tgen,schalkt,schalkt/tgen,Seamless texture generator in javascript,120,311,JavaScript,MIT,http://texture-generator.com/generator/demo,https://github.com/schalkt/tgen,blend|demo|filter|generator|image|javascript|pattern|seamless|texture|tgen|threejs,2025-06-18T21:33:13Z
acnl-editor,marcrobledo,marcrobledo/acnl-editor,An Animal Crossing: New Leaf savegame editor made in HTML5,167,310,JavaScript,MIT,https://www.marcrobledo.com/acnl-editor/,https://github.com/marcrobledo/acnl-editor,,2025-08-19T10:41:33Z
Edelweiss,felixmariotto,felixmariotto/Edelweiss,Platformer game,310,310,JavaScript,CC0-1.0,,https://github.com/felixmariotto/Edelweiss,,2022-12-12T03:33:13Z
physarum,nicoptere,nicoptere/physarum,a slime mold simulation in JS and WebGL,310,310,JavaScript,Unlicense,,https://github.com/nicoptere/physarum,,2022-01-21T08:59:54Z
tetromino,reactgular,reactgular/tetromino,"Block merging game built with React, Redux and Tailwind.",179,309,TypeScript,MIT,https://reactgular.github.io/tetromino/,https://github.com/reactgular/tetromino,game|react|redux|tailwindcss|tetris|tetris-clone|tetris-game|tetromino,2024-06-02T11:51:22Z
kaboom,pwmarcz,pwmarcz/kaboom,Cruel but fair Minesweeper clone,228,308,JavaScript,MIT,https://pwmarcz.pl/kaboom,https://github.com/pwmarcz/kaboom,game|javascript|minesweeper,2023-02-13T04:37:51Z
thehallaframe,Cecropia,Cecropia/thehallaframe,WebVR demo that displays art,148,308,JavaScript,MIT,https://cecropia.github.io/thehallaframe/,https://github.com/Cecropia/thehallaframe,aframe|aframevr|htc-vive|htcvive|oculus|oculus-rift|oculus-touch|threejs|vr|webgl|webvr,2020-02-16T15:37:18Z
JetLagHideAndSeek,taibeled,taibeled/JetLagHideAndSeek,Automatic map generation for Jet Lag The Game's Hide and Seek.,142,305,TypeScript,MIT,https://taibeled.github.io/JetLagHideAndSeek/,https://github.com/taibeled/JetLagHideAndSeek,jetlag|jetlagthegame,2025-08-19T17:03:16Z
